Tick,NestId,Inactive,Assessing,Recruiting,Reversing
35500,0,163,0,0,0
35500,1,0,3,0,0
35500,2,0,3,0,0
36000,0,163,0,0,0
36000,1,0,3,0,0
36000,2,0,3,0,0
36500,0,163,0,0,0
36500,1,0,3,0,0
36500,2,0,3,0,0
37000,0,163,0,0,0
37000,1,0,3,0,0
37000,2,0,3,0,0
37500,0,163,0,0,0
37500,1,0,3,0,0
37500,2,0,3,0,0
38000,0,163,0,0,0
38000,1,0,3,0,0
38000,2,0,3,0,0
38500,0,163,0,0,0
38500,1,0,3,0,0
38500,2,0,3,0,0
39000,0,163,0,0,0
39000,1,0,6,0,0
39000,2,0,3,0,0
39500,0,163,0,0,0
39500,1,0,6,0,0
39500,2,0,3,0,0
40000,0,163,0,0,0
40000,1,0,6,0,0
40000,2,0,4,0,0
40500,0,163,0,0,0
40500,1,0,6,0,0
40500,2,0,4,0,0
41000,0,163,0,0,0
41000,1,0,6,0,0
41000,2,0,4,0,0
41500,0,163,0,0,0
41500,1,0,6,0,0
41500,2,0,5,0,0
42000,0,163,0,0,0
42000,1,0,6,0,0
42000,2,0,5,0,0
42500,0,163,0,0,0
42500,1,0,6,0,0
42500,2,0,5,0,0
43000,0,163,0,0,0
43000,1,0,7,0,0
43000,2,0,5,0,0
43500,0,163,0,0,0
43500,1,0,7,0,0
43500,2,0,5,0,0
44000,0,163,0,0,0
44000,1,0,7,0,0
44000,2,0,5,0,0
44500,0,163,0,0,0
44500,1,0,7,0,0
44500,2,0,4,1,0
45000,0,163,0,0,0
45000,1,0,7,0,0
45000,2,0,3,2,0
45500,0,163,0,0,0
45500,1,0,7,0,0
45500,2,0,3,2,0
46000,0,163,0,0,0
46000,1,0,7,0,0
46000,2,0,3,2,0
46500,0,163,0,0,0
46500,1,0,7,0,0
46500,2,0,3,2,0
47000,0,163,0,0,0
47000,1,0,7,0,0
47000,2,0,4,2,0
47500,0,163,0,0,0
47500,1,0,7,0,0
47500,2,0,4,2,0
48000,0,163,0,0,0
48000,1,0,7,0,0
48000,2,0,4,2,0
48500,0,163,0,0,0
48500,1,0,7,0,0
48500,2,0,4,2,0
49000,0,163,0,0,0
49000,1,0,7,0,0
49000,2,0,4,2,0
49500,0,163,0,0,0
49500,1,0,7,0,0
49500,2,0,4,2,0
50000,0,163,0,0,0
50000,1,0,7,0,0
50000,2,0,5,2,0
50500,0,163,0,0,0
50500,1,0,7,0,0
50500,2,0,5,2,0
51000,0,163,0,0,0
51000,1,0,7,0,0
51000,2,0,5,2,0
51500,0,163,0,0,0
51500,1,0,7,0,0
51500,2,0,5,2,0
52000,0,163,0,0,0
52000,1,0,7,0,0
52000,2,0,5,2,0
52500,0,163,0,0,0
52500,1,0,8,0,0
52500,2,0,5,2,0
53000,0,163,0,0,0
53000,1,0,8,0,0
53000,2,0,5,2,0
53500,0,163,0,0,0
53500,1,0,8,0,0
53500,2,0,5,2,0
54000,0,163,0,0,0
54000,1,0,8,0,0
54000,2,0,6,2,0
54500,0,163,0,0,0
54500,1,0,9,0,0
54500,2,0,6,2,0
55000,0,163,0,0,0
55000,1,0,9,0,0
55000,2,0,6,2,0
55500,0,163,0,0,0
55500,1,0,10,0,0
55500,2,0,6,2,0
56000,0,163,0,0,0
56000,1,0,10,0,0
56000,2,0,6,2,0
56500,0,163,0,0,0
56500,1,0,10,0,0
56500,2,0,6,2,0
57000,0,163,0,0,0
57000,1,0,9,0,0
57000,2,0,6,2,0
57500,0,163,0,0,0
57500,1,0,9,0,0
57500,2,0,6,2,0
58000,0,163,0,0,0
58000,1,0,9,0,0
58000,2,0,6,2,0
58500,0,163,0,0,0
58500,1,0,8,0,0
58500,2,0,6,2,0
59000,0,163,0,0,0
59000,1,0,8,0,0
59000,2,0,6,2,0
59500,0,163,0,0,0
59500,1,0,8,0,0
59500,2,0,6,2,0
60000,0,163,0,0,0
60000,1,0,8,0,0
60000,2,0,6,2,0
60500,0,163,0,0,0
60500,1,0,8,0,0
60500,2,0,5,2,0
61000,0,163,0,0,0
61000,1,0,8,0,0
61000,2,0,5,2,0
61500,0,163,0,0,0
61500,1,0,7,0,0
61500,2,0,5,2,0
62000,0,163,0,0,0
62000,1,0,7,0,0
62000,2,0,5,2,0
62500,0,163,0,0,0
62500,1,0,7,0,0
62500,2,0,5,2,0
63000,0,163,0,0,0
63000,1,0,7,0,0
63000,2,0,5,2,0
63500,0,163,0,0,0
63500,1,0,7,0,0
63500,2,0,5,2,0
64000,0,162,0,0,0
64000,1,0,7,0,0
64000,2,0,6,2,0
64500,0,162,0,0,0
64500,1,0,7,0,0
64500,2,0,6,2,0
65000,0,162,0,0,0
65000,1,0,7,0,0
65000,2,0,6,2,0
65500,0,162,0,0,0
65500,1,0,7,0,0
65500,2,0,5,3,0
66000,0,162,0,0,0
66000,1,0,7,1,0
66000,2,0,5,3,0
66500,0,162,0,0,0
66500,1,0,7,1,0
66500,2,0,5,3,0
67000,0,162,0,0,0
67000,1,0,7,1,0
67000,2,0,5,3,0
67500,0,162,0,0,0
67500,1,0,8,1,0
67500,2,0,4,4,0
68000,0,162,0,0,0
68000,1,0,7,1,0
68000,2,0,5,4,0
68500,0,162,0,0,0
68500,1,0,6,1,0
68500,2,0,5,4,0
69000,0,162,0,0,0
69000,1,0,7,1,0
69000,2,0,5,4,0
69500,0,162,0,0,0
69500,1,0,7,1,0
69500,2,0,5,4,0
70000,0,162,0,0,0
70000,1,0,7,1,0
70000,2,0,5,4,0
70500,0,162,0,0,0
70500,1,0,7,1,0
70500,2,0,4,5,0
71000,0,162,0,0,0
71000,1,0,7,1,0
71000,2,0,4,5,0
71500,0,162,0,0,0
71500,1,0,7,1,0
71500,2,0,4,5,0
72000,0,162,0,0,0
72000,1,0,7,1,0
72000,2,0,4,5,0
72500,0,162,0,0,0
72500,1,0,7,1,0
72500,2,0,4,5,0
73000,0,162,0,0,0
73000,1,0,7,1,0
73000,2,0,4,5,0
73500,0,162,0,0,0
73500,1,0,7,1,0
73500,2,0,4,5,0
74000,0,162,0,0,0
74000,1,0,7,1,0
74000,2,0,4,5,0
74500,0,162,0,0,0
74500,1,0,7,1,0
74500,2,0,3,5,0
75000,0,162,0,0,0
75000,1,0,7,1,0
75000,2,0,3,5,0
75500,0,162,0,0,0
75500,1,0,7,1,0
75500,2,0,3,5,0
76000,0,162,0,0,0
76000,1,0,7,1,0
76000,2,0,3,5,0
76500,0,162,0,0,0
76500,1,0,6,1,0
76500,2,0,3,5,0
77000,0,161,0,0,0
77000,1,0,6,1,0
77000,2,0,4,5,0
77500,0,161,0,0,0
77500,1,0,6,1,0
77500,2,0,4,5,0
78000,0,161,0,0,0
78000,1,0,6,1,0
78000,2,0,4,5,0
78500,0,161,0,0,0
78500,1,0,6,1,0
78500,2,0,3,6,0
79000,0,161,0,0,0
79000,1,0,6,1,0
79000,2,0,3,6,0
79500,0,160,0,0,0
79500,1,0,6,1,0
79500,2,0,5,6,0
80000,0,160,0,0,0
80000,1,0,6,1,0
80000,2,0,6,6,0
80500,0,160,0,0,0
80500,1,0,6,1,0
80500,2,0,6,6,0
81000,0,160,0,0,0
81000,1,0,7,1,0
81000,2,0,6,6,0
81500,0,159,0,0,0
81500,1,0,6,1,0
81500,2,0,7,6,0
82000,0,159,0,0,0
82000,1,0,6,1,0
82000,2,0,7,6,0
82500,0,159,0,0,0
82500,1,0,6,1,0
82500,2,0,7,6,0
83000,0,159,0,0,0
83000,1,0,6,1,0
83000,2,0,7,6,0
83500,0,159,0,0,0
83500,1,0,6,1,0
83500,2,0,7,6,0
84000,0,159,0,0,0
84000,1,0,6,1,0
84000,2,0,7,6,0
84500,0,159,0,0,0
84500,1,0,5,1,0
84500,2,0,7,6,0
85000,0,159,0,0,0
85000,1,0,4,1,0
85000,2,0,7,6,0
85500,0,159,0,0,0
85500,1,0,3,1,0
85500,2,0,7,6,0
86000,0,159,0,0,0
86000,1,0,3,1,0
86000,2,0,8,6,0
86500,0,159,0,0,0
86500,1,0,4,1,0
86500,2,0,8,6,0
87000,0,159,0,0,0
87000,1,0,4,1,0
87000,2,0,8,6,0
87500,0,159,0,0,0
87500,1,0,4,1,0
87500,2,0,8,6,0
88000,0,159,0,0,0
88000,1,0,4,1,0
88000,2,0,8,6,0
88500,0,159,0,0,0
88500,1,0,3,1,0
88500,2,0,8,6,0
89000,0,159,0,0,0
89000,1,0,3,1,0
89000,2,0,8,6,0
89500,0,159,0,0,0
89500,1,0,3,1,0
89500,2,0,7,7,0
90000,0,158,0,0,0
90000,1,0,3,1,0
90000,2,0,8,7,0
90500,0,157,0,0,0
