Tick,AntId,State,PosX,PosY,PosZ
150,6,Scouting,37.083,0.1,24.955
150,7,Scouting,38.449,0.1,27.039
150,8,Scouting,38.4,0.1,22.343
150,9,Scouting,40.337,0.1,22.683
150,10,Scouting,41.05,0.1,24.045
150,11,Inactive,39.561,0.1,24.413
150,12,Inactive,38.98,0.1,25.204
150,13,Inactive,39.2,0.1,25
150,14,Inactive,39.2,0.1,25.2
150,15,Inactive,39.2,0.1,25.4
150,16,Inactive,39.4,0.1,24
150,17,Inactive,39.4,0.1,24.2
150,18,Inactive,39.4,0.1,24.4
150,19,Inactive,39.4,0.1,24.6
150,20,Inactive,39.4,0.1,24.8
150,21,Inactive,39.4,0.1,25
150,22,Inactive,39.4,0.1,25.2
150,23,Inactive,39.4,0.1,25.4
150,24,Inactive,39.6,0.1,24
150,25,Inactive,39.6,0.1,24.2
150,26,Inactive,39.6,0.1,24.4
150,27,Inactive,39.6,0.1,24.6
150,28,Inactive,39.6,0.1,24.8
150,29,Inactive,39.6,0.1,25
150,30,Inactive,39.6,0.1,25.2
150,31,Inactive,39.6,0.1,25.4
150,32,Inactive,39.8,0.1,24
150,33,Inactive,39.8,0.1,24.2
150,34,Inactive,39.8,0.1,24.4
150,35,Inactive,39.8,0.1,24.6
150,36,Inactive,39.8,0.1,24.8
150,37,Inactive,39.8,0.1,25
150,38,Inactive,39.8,0.1,25.2
150,39,Inactive,39.8,0.1,25.4
150,40,Inactive,40,0.1,24
150,41,Inactive,40,0.1,24.2
150,42,Inactive,40,0.1,24.4
150,43,Inactive,40,0.1,24.6
150,44,Inactive,40,0.1,24.8
150,45,Inactive,40,0.1,25
150,46,Inactive,40,0.1,25.2
150,47,Inactive,40,0.1,25.4
150,48,Inactive,40.2,0.1,24
150,49,Inactive,40.2,0.1,24.2
200,0,Scouting,38.553,0.1,22.851
200,1,Scouting,36.734,0.1,25.36
200,2,Scouting,39.778,0.1,26.746
200,3,Scouting,40.692,0.1,24.611
200,4,Scouting,36.308,0.1,24.766
200,5,Scouting,41.379,0.1,25.756
200,6,Scouting,37.64,0.1,24.988
200,7,Scouting,38.573,0.1,27.857
200,8,Scouting,37.784,0.1,21.848
200,9,Scouting,40.675,0.1,21.919
200,10,Scouting,41.81,0.1,23.698
200,11,Inactive,39.674,0.1,24.263
200,12,Inactive,39.156,0.1,25.24
200,13,Inactive,39.2,0.1,25
200,14,Inactive,39.2,0.1,25.2
200,15,Inactive,39.2,0.1,25.4
200,16,Inactive,39.4,0.1,24
200,17,Inactive,39.4,0.1,24.2
200,18,Inactive,39.4,0.1,24.4
200,19,Inactive,39.4,0.1,24.6
200,20,Inactive,39.4,0.1,24.8
200,21,Inactive,39.4,0.1,25
200,22,Inactive,39.4,0.1,25.2
200,23,Inactive,39.4,0.1,25.4
200,24,Inactive,39.6,0.1,24
200,25,Inactive,39.6,0.1,24.2
200,26,Inactive,39.6,0.1,24.4
200,27,Inactive,39.6,0.1,24.6
200,28,Inactive,39.6,0.1,24.8
200,29,Inactive,39.6,0.1,25
200,30,Inactive,39.6,0.1,25.2
200,31,Inactive,39.6,0.1,25.4
200,32,Inactive,39.8,0.1,24
200,33,Inactive,39.8,0.1,24.2
200,34,Inactive,39.8,0.1,24.4
200,35,Inactive,39.8,0.1,24.6
200,36,Inactive,39.8,0.1,24.8
200,37,Inactive,39.8,0.1,25
200,38,Inactive,39.8,0.1,25.2
200,39,Inactive,39.8,0.1,25.4
200,40,Inactive,40,0.1,24
200,41,Inactive,40,0.1,24.2
200,42,Inactive,40,0.1,24.4
200,43,Inactive,40,0.1,24.6
200,44,Inactive,40,0.1,24.8
200,45,Inactive,40,0.1,25
200,46,Inactive,40,0.1,25.2
200,47,Inactive,40,0.1,25.4
200,48,Inactive,40.2,0.1,24
200,49,Inactive,40.2,0.1,24.2
250,0,Scouting,39.378,0.1,22.826
250,1,Scouting,36.098,0.1,25.874
250,2,Scouting,39.434,0.1,27.502
250,3,Scouting,40.891,0.1,23.872
250,4,Scouting,35.508,0.1,24.782
250,5,Scouting,42.015,0.1,26.252
250,6,Scouting,38.49,0.1,25.031
250,7,Scouting,39.072,0.1,28.397
250,8,Scouting,37.901,0.1,22.23
250,9,Scouting,40.131,0.1,21.63
250,10,Scouting,42.196,0.1,23.082
250,11,Inactive,39.774,0.1,24.113
250,12,Inactive,39.356,0.1,25.24
250,13,Inactive,39.2,0.1,25
250,14,Inactive,39.2,0.1,25.2
250,15,Inactive,39.2,0.1,25.4
250,16,Inactive,39.4,0.1,24
250,17,Inactive,39.4,0.1,24.2
250,18,Inactive,39.4,0.1,24.4
250,19,Inactive,39.4,0.1,24.6
250,20,Inactive,39.4,0.1,24.8
250,21,Inactive,39.4,0.1,25
250,22,Inactive,39.4,0.1,25.2
250,23,Inactive,39.4,0.1,25.4
250,24,Inactive,39.6,0.1,24
250,25,Inactive,39.6,0.1,24.2
250,26,Inactive,39.6,0.1,24.4
250,27,Inactive,39.6,0.1,24.6
250,28,Inactive,39.6,0.1,24.8
250,29,Inactive,39.6,0.1,25
250,30,Inactive,39.6,0.1,25.2
250,31,Inactive,39.6,0.1,25.4
250,32,Inactive,39.8,0.1,24
250,33,Inactive,39.8,0.1,24.2
250,34,Inactive,39.8,0.1,24.4
250,35,Inactive,39.8,0.1,24.6
250,36,Inactive,39.8,0.1,24.8
250,37,Inactive,39.8,0.1,25
250,38,Inactive,39.8,0.1,25.2
250,39,Inactive,39.8,0.1,25.4
250,40,Inactive,40,0.1,24
250,41,Inactive,40,0.1,24.2
250,42,Inactive,40,0.1,24.4
250,43,Inactive,40,0.1,24.6
250,44,Inactive,40,0.1,24.8
250,45,Inactive,40,0.1,25
250,46,Inactive,40,0.1,25.2
250,47,Inactive,40,0.1,25.4
250,48,Inactive,40.2,0.1,24
250,49,Inactive,40.2,0.1,24.2
300,0,Scouting,40.009,0.1,23.351
300,1,Scouting,35.478,0.1,26.437
300,2,Scouting,39.546,0.1,28.34
300,3,Scouting,40.777,0.1,23.066
300,4,Scouting,34.674,0.1,24.664
300,5,Scouting,42.062,0.1,27.057
300,6,Scouting,39.233,0.1,24.72
300,7,Scouting,39.922,0.1,28.397
300,8,Scouting,38.638,0.1,22.594
300,9,Scouting,39.281,0.1,21.63
300,10,Scouting,42.302,0.1,22.255
300,11,Inactive,39.926,0.1,24.015
300,12,Inactive,39.556,0.1,25.271
300,13,Inactive,39.2,0.1,25
300,14,Inactive,39.2,0.1,25.2
300,15,Inactive,39.2,0.1,25.4
300,16,Inactive,39.4,0.1,24
300,17,Inactive,39.4,0.1,24.2
300,18,Inactive,39.4,0.1,24.4
300,19,Inactive,39.4,0.1,24.6
300,20,Inactive,39.4,0.1,24.8
300,21,Inactive,39.4,0.1,25
300,22,Inactive,39.4,0.1,25.2
300,23,Inactive,39.4,0.1,25.4
300,24,Inactive,39.6,0.1,24
300,25,Inactive,39.6,0.1,24.2
300,26,Inactive,39.6,0.1,24.4
300,27,Inactive,39.6,0.1,24.6
300,28,Inactive,39.6,0.1,24.8
300,29,Inactive,39.6,0.1,25
300,30,Inactive,39.6,0.1,25.2
300,31,Inactive,39.6,0.1,25.4
300,32,Inactive,39.8,0.1,24
300,33,Inactive,39.8,0.1,24.2
300,34,Inactive,39.8,0.1,24.4
300,35,Inactive,39.8,0.1,24.6
300,36,Inactive,39.8,0.1,24.8
300,37,Inactive,39.8,0.1,25
300,38,Inactive,39.8,0.1,25.2
300,39,Inactive,39.8,0.1,25.4
300,40,Inactive,40,0.1,24
300,41,Inactive,40,0.1,24.2
300,42,Inactive,40,0.1,24.4
300,43,Inactive,40,0.1,24.6
300,44,Inactive,40,0.1,24.8
300,45,Inactive,40,0.1,25
300,46,Inactive,40,0.1,25.2
300,47,Inactive,40,0.1,25.4
300,48,Inactive,40.2,0.1,24
300,49,Inactive,40.2,0.1,24.2
350,0,Scouting,39.667,0.1,23.956
350,1,Scouting,34.784,0.1,26.896
350,2,Scouting,40.37,0.1,28.372
350,3,Scouting,40.961,0.1,22.273
350,4,Scouting,33.843,0.1,24.778
350,5,Scouting,41.989,0.1,27.907
350,6,Scouting,39.875,0.1,24.203
350,7,Scouting,40.772,0.1,28.397
350,8,Scouting,39.464,0.1,22.662
350,9,Scouting,38.431,0.1,21.601
350,10,Scouting,42.091,0.1,21.686
350,11,Inactive,40.126,0.1,23.994
350,12,Inactive,39.756,0.1,25.248
350,13,Inactive,39.2,0.1,25
350,14,Inactive,39.2,0.1,25.2
350,15,Inactive,39.2,0.1,25.4
350,16,Inactive,39.4,0.1,24
350,17,Inactive,39.4,0.1,24.2
350,18,Inactive,39.4,0.1,24.4
350,19,Inactive,39.4,0.1,24.6
350,20,Inactive,39.4,0.1,24.8
350,21,Inactive,39.4,0.1,25
350,22,Inactive,39.4,0.1,25.2
350,23,Inactive,39.4,0.1,25.4
350,24,Inactive,39.6,0.1,24
350,25,Inactive,39.6,0.1,24.2
350,26,Inactive,39.6,0.1,24.4
350,27,Inactive,39.6,0.1,24.6
350,28,Inactive,39.6,0.1,24.8
350,29,Inactive,39.6,0.1,25
350,30,Inactive,39.6,0.1,25.2
350,31,Inactive,39.6,0.1,25.4
350,32,Inactive,39.8,0.1,24
350,33,Inactive,39.8,0.1,24.2
350,34,Inactive,39.8,0.1,24.4
350,35,Inactive,39.8,0.1,24.6
350,36,Inactive,39.8,0.1,24.8
350,37,Inactive,39.8,0.1,25
350,38,Inactive,39.8,0.1,25.2
350,39,Inactive,39.8,0.1,25.4
350,40,Inactive,40,0.1,24
350,41,Inactive,40,0.1,24.2
350,42,Inactive,40,0.1,24.4
350,43,Inactive,40,0.1,24.6
350,44,Inactive,40,0.1,24.8
350,45,Inactive,40,0.1,25
350,46,Inactive,40,0.1,25.2
350,47,Inactive,40,0.1,25.4
350,48,Inactive,40.2,0.1,24
350,49,Inactive,40.2,0.1,24.2
400,0,Scouting,38.99,0.1,23.762
400,1,Scouting,33.957,0.1,27.059
400,2,Scouting,41.21,0.1,28.322
400,3,Scouting,41.384,0.1,21.614
400,4,Scouting,33.496,0.1,25.513
400,5,Scouting,41.615,0.1,28.394
400,6,Scouting,40.181,0.1,23.454
400,7,Scouting,41.389,0.1,28.221
400,8,Scouting,40.263,0.1,22.389
400,9,Scouting,37.802,0.1,21.859
400,10,Scouting,41.441,0.1,22.136
400,11,Inactive,40.326,0.1,23.959
400,12,Inactive,39.956,0.1,25.222
400,13,Inactive,39.2,0.1,25
400,14,Inactive,39.2,0.1,25.2
400,15,Inactive,39.2,0.1,25.4
400,16,Inactive,39.4,0.1,24
400,17,Inactive,39.4,0.1,24.2
400,18,Inactive,39.4,0.1,24.4
400,19,Inactive,39.4,0.1,24.6
400,20,Inactive,39.4,0.1,24.8
400,21,Inactive,39.4,0.1,25
400,22,Inactive,39.4,0.1,25.2
400,23,Inactive,39.4,0.1,25.4
400,24,Inactive,39.6,0.1,24
400,25,Inactive,39.6,0.1,24.2
400,26,Inactive,39.6,0.1,24.4
400,27,Inactive,39.6,0.1,24.6
400,28,Inactive,39.6,0.1,24.8
400,29,Inactive,39.6,0.1,25
400,30,Inactive,39.6,0.1,25.2
400,31,Inactive,39.6,0.1,25.4
400,32,Inactive,39.8,0.1,24
400,33,Inactive,39.8,0.1,24.2
400,34,Inactive,39.8,0.1,24.4
400,35,Inactive,39.8,0.1,24.6
400,36,Inactive,39.8,0.1,24.8
400,37,Inactive,39.8,0.1,25
400,38,Inactive,39.8,0.1,25.2
400,39,Inactive,39.8,0.1,25.4
400,40,Inactive,40,0.1,24
400,41,Inactive,40,0.1,24.2
400,42,Inactive,40,0.1,24.4
400,43,Inactive,40,0.1,24.6
400,44,Inactive,40,0.1,24.8
400,45,Inactive,40,0.1,25
400,46,Inactive,40,0.1,25.2
400,47,Inactive,40,0.1,25.4
400,48,Inactive,40.2,0.1,24
400,49,Inactive,40.2,0.1,24.2
450,0,Scouting,38.193,0.1,23.541
450,1,Scouting,33.254,0.1,27.503
450,2,Scouting,41.868,0.1,27.944
450,3,Scouting,42.183,0.1,21.665
450,4,Scouting,33.083,0.1,26.239
450,5,Scouting,40.765,0.1,28.394
450,6,Scouting,39.939,0.1,22.668
450,7,Scouting,41.047,0.1,27.455
450,8,Scouting,40.985,0.1,21.981
450,9,Scouting,37.976,0.1,22.666
450,10,Scouting,40.971,0.1,22.826
450,11,Inactive,40.517,0.1,23.872
450,12,Inactive,40.106,0.1,25.106
450,13,Inactive,39.2,0.1,25
450,14,Inactive,39.2,0.1,25.2
450,15,Inactive,39.2,0.1,25.4
450,16,Inactive,39.4,0.1,24
450,17,Inactive,39.4,0.1,24.2
450,18,Inactive,39.4,0.1,24.4
450,19,Inactive,39.4,0.1,24.6
450,20,Inactive,39.4,0.1,24.8
450,21,Inactive,39.4,0.1,25
450,22,Inactive,39.4,0.1,25.2
450,23,Inactive,39.4,0.1,25.4
450,24,Inactive,39.6,0.1,24
450,25,Inactive,39.6,0.1,24.2
450,26,Inactive,39.6,0.1,24.4
450,27,Inactive,39.6,0.1,24.6
450,28,Inactive,39.6,0.1,24.8
450,29,Inactive,39.6,0.1,25
450,30,Inactive,39.6,0.1,25.2
450,31,Inactive,39.6,0.1,25.4
450,32,Inactive,39.8,0.1,24
450,33,Inactive,39.8,0.1,24.2
450,34,Inactive,39.8,0.1,24.4
450,35,Inactive,39.8,0.1,24.6
450,36,Inactive,39.8,0.1,24.8
450,37,Inactive,39.8,0.1,25
450,38,Inactive,39.8,0.1,25.2
450,39,Inactive,39.8,0.1,25.4
450,40,Inactive,40,0.1,24
450,41,Inactive,40,0.1,24.2
450,42,Inactive,40,0.1,24.4
450,43,Inactive,40,0.1,24.6
450,44,Inactive,40,0.1,24.8
450,45,Inactive,40,0.1,25
450,46,Inactive,40,0.1,25.2
450,47,Inactive,40,0.1,25.4
450,48,Inactive,40.2,0.1,24
450,49,Inactive,40.2,0.1,24.2
500,0,Scouting,37.769,0.1,23.079
500,1,Scouting,32.541,0.1,27.927
500,2,Scouting,41.988,0.1,27.154
500,3,Scouting,41.678,0.1,22.249
500,4,Scouting,33.153,0.1,27.042
500,5,Scouting,39.918,0.1,28.35
500,6,Scouting,40.038,0.1,21.843
500,7,Scouting,40.785,0.1,26.653
500,8,Scouting,41.703,0.1,21.669
500,9,Scouting,38.268,0.1,23.443
500,10,Scouting,40.393,0.1,23.448
500,11,Inactive,40.68,0.1,23.797
500,12,Inactive,40.275,0.1,25.013
500,13,Inactive,39.2,0.1,25
500,14,Inactive,39.2,0.1,25.2
500,15,Inactive,39.2,0.1,25.4
500,16,Inactive,39.4,0.1,24
500,17,Inactive,39.4,0.1,24.2
500,18,Inactive,39.4,0.1,24.4
500,19,Inactive,39.4,0.1,24.6
500,20,Inactive,39.4,0.1,24.8
500,21,Inactive,39.4,0.1,25
