Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,181
1501,Scouting,19
2001,Inactive,164
2001,Scouting,36
2501,Scouting,46
2501,Inactive,154
3001,Scouting,46
3001,Inactive,154
3501,Scouting,46
3501,Inactive,154
4001,Scouting,45
4001,Assessing,1
4001,Inactive,154
4501,Scouting,44
4501,Assessing,2
4501,Inactive,154
5001,Scouting,44
5001,Assessing,2
5001,Inactive,154
5501,Scouting,44
5501,Assessing,2
5501,Inactive,154
6001,Scouting,42
6001,Assessing,4
6001,Inactive,154
6501,Scouting,42
6501,Assessing,4
6501,Inactive,154
7001,Scouting,42
7001,Assessing,4
7001,Inactive,154
7501,Scouting,41
7501,Assessing,5
7501,Inactive,154
8001,Scouting,40
8001,Assessing,6
8001,Inactive,154
8501,Scouting,39
8501,Assessing,7
8501,Inactive,154
9001,Scouting,39
9001,Assessing,7
9001,Inactive,154
9501,Scouting,38
9501,Assessing,8
9501,Inactive,154
10001,Scouting,38
10001,Assessing,8
10001,Inactive,154
10501,Scouting,37
10501,Assessing,9
10501,Inactive,154
11001,Scouting,37
11001,Assessing,9
11001,Inactive,154
11501,Scouting,37
11501,Assessing,9
11501,Inactive,154
12001,Scouting,37
12001,Assessing,9
12001,Inactive,154
12501,Scouting,37
12501,Assessing,9
12501,Inactive,154
13001,Scouting,35
13001,Assessing,11
13001,Inactive,154
13501,Scouting,34
13501,Assessing,12
13501,Inactive,154
14001,Scouting,33
14001,Assessing,13
14001,Inactive,154
14501,Scouting,32
14501,Assessing,14
14501,Inactive,154
15001,Scouting,32
15001,Assessing,14
15001,Inactive,154
15501,Scouting,30
15501,Assessing,16
15501,Inactive,154
16001,Scouting,29
16001,Assessing,17
16001,Inactive,154
16501,Scouting,28
16501,Assessing,18
16501,Inactive,154
17001,Scouting,28
17001,Assessing,18
17001,Inactive,154
17501,Scouting,29
17501,Assessing,17
17501,Inactive,154
18001,Scouting,29
18001,Assessing,17
18001,Inactive,154
18501,Scouting,29
18501,Assessing,17
18501,Inactive,154
19001,Scouting,29
19001,Assessing,17
19001,Inactive,154
19501,Scouting,29
19501,Assessing,17
19501,Inactive,154
20001,Scouting,28
20001,Recruiting,1
20001,Assessing,17
20001,Inactive,154
20501,Scouting,28
20501,Recruiting,1
20501,Assessing,17
20501,Inactive,154
21001,Scouting,28
21001,Recruiting,1
21001,Assessing,17
21001,Inactive,154
21501,Scouting,28
21501,Recruiting,1
21501,Assessing,17
21501,Inactive,154
22001,Scouting,28
22001,Recruiting,2
22001,Assessing,16
22001,Inactive,154
22501,Scouting,27
22501,Recruiting,2
22501,Assessing,17
22501,Inactive,154
23001,Scouting,26
23001,Recruiting,2
23001,Assessing,17
23001,Inactive,155
23501,Scouting,25
23501,Recruiting,2
23501,Assessing,18
23501,Inactive,155
24001,Scouting,26
24001,Recruiting,3
24001,Assessing,16
24001,Inactive,155
24501,Scouting,26
24501,Recruiting,3
24501,Assessing,16
24501,Inactive,155
25001,Scouting,27
25001,Recruiting,3
25001,Assessing,15
25001,Inactive,155
25501,Scouting,27
25501,Recruiting,3
25501,Assessing,15
25501,Inactive,155
26001,Scouting,27
26001,Recruiting,3
26001,Assessing,15
26001,Inactive,155
26501,Scouting,27
26501,Recruiting,3
26501,Assessing,14
26501,Reversing,1
26501,Inactive,155
27001,Scouting,27
27001,Recruiting,4
27001,Assessing,14
27001,Inactive,155
27501,Scouting,27
27501,Recruiting,4
27501,Assessing,14
27501,Inactive,155
28001,Scouting,27
28001,Recruiting,5
28001,Assessing,13
28001,Inactive,155
28501,Scouting,29
28501,Recruiting,5
28501,Assessing,12
28501,Inactive,154
29001,Scouting,29
29001,Recruiting,6
29001,Assessing,11
29001,Inactive,154
29501,Scouting,29
29501,Recruiting,7
29501,Assessing,10
29501,Inactive,154
30001,Scouting,30
30001,Recruiting,7
30001,Assessing,9
30001,Inactive,154
30501,Scouting,28
30501,Recruiting,7
30501,Assessing,11
30501,Inactive,154
31001,Scouting,29
31001,Recruiting,8
31001,Assessing,9
31001,Inactive,154
31501,Scouting,29
31501,Reversing,1
31501,Recruiting,7
31501,Assessing,9
31501,Inactive,154
32001,Scouting,29
32001,Recruiting,7
32001,Assessing,9
32001,Reversing,1
32001,Inactive,154
32501,Scouting,29
32501,Recruiting,8
32501,Assessing,8
32501,Inactive,155
33001,Scouting,29
33001,Recruiting,7
33001,Reversing,1
33001,Assessing,7
33001,Inactive,156
33501,Scouting,28
33501,Recruiting,7
33501,Reversing,1
33501,Assessing,7
33501,Inactive,155
33501,Following,2
34001,Scouting,29
34001,Recruiting,7
34001,Reversing,1
34001,Assessing,7
34001,Inactive,154
34001,Following,2
34501,Scouting,28
34501,Recruiting,6
34501,Reversing,2
34501,Assessing,7
34501,Inactive,155
34501,Following,2
35001,Scouting,29
35001,Recruiting,7
35001,Reversing,1
35001,Assessing,7
35001,Inactive,154
35001,Following,2
35501,Scouting,30
35501,Recruiting,6
35501,Reversing,1
35501,Assessing,8
35501,Inactive,153
35501,Following,2
36001,Scouting,30
36001,Recruiting,6
36001,Reversing,1
36001,Assessing,8
36001,Inactive,153
36001,Following,2
36501,Scouting,32
36501,Recruiting,6
36501,Reversing,1
36501,Assessing,7
36501,Inactive,152
36501,Following,2
37001,Scouting,31
37001,Recruiting,7
37001,Reversing,1
37001,Assessing,7
37001,Inactive,152
37001,Following,2
37501,Scouting,31
37501,Reversing,2
37501,Recruiting,6
37501,Assessing,7
37501,Inactive,152
37501,Following,2
38001,Scouting,31
38001,Recruiting,7
38001,Reversing,1
38001,Assessing,7
38001,Inactive,152
38001,Following,2
38501,Scouting,31
38501,Recruiting,7
38501,Reversing,1
38501,Assessing,7
38501,Inactive,152
38501,Following,2
39001,Scouting,32
39001,Recruiting,7
39001,Reversing,1
39001,Assessing,6
39001,Inactive,152
39001,Following,2
39501,Scouting,32
39501,Recruiting,7
39501,Reversing,1
39501,Assessing,6
39501,Inactive,152
39501,Following,2
40001,Scouting,32
40001,Recruiting,8
40001,Reversing,1
40001,Assessing,5
40001,Inactive,152
40001,Following,2
40501,Scouting,32
40501,Recruiting,6
40501,Reversing,3
40501,Assessing,4
40501,Inactive,153
40501,Following,2
41001,Scouting,32
41001,Recruiting,7
41001,Reversing,2
41001,Assessing,4
41001,Inactive,152
41001,Following,3
41501,Scouting,31
41501,Recruiting,6
41501,Reversing,3
41501,Assessing,4
41501,Inactive,153
41501,Following,3
42001,Scouting,31
42001,Recruiting,7
42001,Reversing,2
42001,Assessing,4
42001,Inactive,153
42001,Following,3
42501,Scouting,31
42501,Recruiting,7
42501,Reversing,2
42501,Assessing,4
42501,Inactive,153
42501,Following,3
43001,Scouting,31
43001,Recruiting,9
43001,Assessing,4
43001,Reversing,1
43001,Inactive,153
43001,Following,2
43501,Scouting,32
43501,Reversing,2
43501,Recruiting,8
43501,Assessing,4
